,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Claimant data by constituency: JSA claimants and Universal Credit claimants required to seek work, December 2016",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: Figures include JSA claimants and people claiming Universal Credit (UC) who are required to seek work. UC figures are provisional. All data are rounded to the nearest five, except for data on claims by type (JSA claimants only; UC claimants only). The number of JSA claimants and the number of UC claimants may not sum to the total claimant count as data are taken from different sources and are independently rounded.",,,,,,,,,,,,,,,,,,,,,,,,,
Claimant rate is the proportion of the economically active population aged 16-64 (as estimated by the Library) who are claiming JSA or claiming UC and required to seek work.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Claimant levels,,,,,Claimant rate,,,Claims by age group,,,,,,,,,,Claims by type,,
 ,,,,,All claimants,,,,,All claimants,,,18-24,,,,,50 and over,,,,,JSA only,UC only,
,,,,,Number,,Annual change,,,Rate,Rank,,Number,,Annual change,,,Number,,Annual change,,,,,
,,,,,,,level,%,,%,1=highest,,                                                                                      ,,level,%,,,,level,%,,,,
Beaconsfield,Beaconsfield,England,425.86047425385,70.86047425385,425,,55,15,,0.9,593,,70,,10,16.7,,135,,40,42.1,,321,104,
Beckenham,Beckenham,England,476.02352638843,76.02352638843,475,,60,14,,1.0,556,,75,,10,15.4,,140,,20,16.7,,371,106,
Bedford,Bedford,England,"1,598.05268189956",248.05268189956,"1,595",,-125,-7,,3.1,182,,245,,-55,-18.3,,435,,0,0.0,,"1,261",332,
Belfast East,Belfast East,Northern Ireland,"1,703.71620032473",338.71620032473,"1,700",,-170,-9,,3.7,107,,335,,-105,-23.9,,450,,50,12.5,,"1,702",..,
Belfast North,Belfast North,Northern Ireland,"2,966.64415190028",666.64415190028,"2,960",,-355,-11,,6.6,9,,660,,-140,-17.5,,650,,-30,-4.4,,"2,961",..,
Belfast South,Belfast South,Northern Ireland,"1,647.77820713087",337.77820713088,"1,645",,-335,-17,,2.8,216,,335,,-115,-25.6,,375,,10,2.7,,"1,643",..,
Belfast West,Belfast West,Northern Ireland,"2,752.21547274124",707.21547274124,"2,745",,-545,-17,,7.2,5,,700,,-200,-22.2,,610,,-35,-5.4,,"2,743",..,
Bermondsey and Old Southwark,Bermondsey and Old Southwark,England,"2,813.36450107736",363.36450107736,"2,810",,790,39,,3.4,136,,360,,60,20.0,,880,,335,61.5,,748,"2,064",
"Berwickshire, Roxburgh and Selkirk","Berwickshire, Roxburgh and Selkirk",Scotland,982.20997256867,252.20997256867,980,,50,5,,2.2,311,,250,,15,6.4,,260,,40,18.2,,598,378,
Berwick-upon-Tweed,Berwick-upon-Tweed,England,812.32399659777,172.32399659777,810,,85,12,,2.3,294,,170,,10,6.3,,240,,35,17.1,,612,198,
Bethnal Green and Bow,Bethnal Green and Bow,England,"2,398.15925849395",473.15925849395,"2,395",,-95,-4,,3.2,163,,470,,-55,-10.5,,700,,65,10.2,,"1,784",610,
Beverley and Holderness,Beverley and Holderness,England,836.77199417411,206.77199417411,835,,-60,-7,,1.8,383,,205,,-10,-4.7,,235,,5,2.2,,593,243,
Bexhill and Battle,Bexhill and Battle,England,576.33677900918,151.33677900918,575,,-30,-5,,1.3,483,,150,,-5,-3.2,,160,,-15,-8.6,,381,194,
Bexleyheath and Crayford,Bexleyheath and Crayford,England,801.72654824866,196.72654824866,800,,85,12,,1.7,393,,195,,50,34.5,,165,,0,0.0,,557,242,
Birkenhead,Birkenhead,England,"1,724.32960519447",384.32960519447,"1,720",,-160,-9,,4.3,69,,380,,-75,-16.5,,345,,-20,-5.5,,684,"1,035",
"Birmingham, Edgbaston","Birmingham, Edgbaston",England,"2,380.07265178905",445.07265178906,"2,375",,170,8,,5.1,31,,440,,30,7.3,,550,,55,11.1,,"1,767",609,
"Birmingham, Erdington","Birmingham, Erdington",England,"3,242.03817760474",652.03817760474,"3,235",,125,4,,7.0,7,,645,,-10,-1.5,,815,,90,12.4,,"2,418",821,
"Birmingham, Hall Green","Birmingham, Hall Green",England,"3,111.38976663942",776.38976663942,"3,105",,120,4,,6.4,10,,770,,75,10.8,,600,,30,5.3,,"1,975","1,131",
"Birmingham, Hodge Hill","Birmingham, Hodge Hill",England,"3,968.61354959347",958.61354959347,"3,960",,120,3,,8.6,3,,950,,15,1.6,,770,,100,14.9,,"2,883","1,080",
"Birmingham, Ladywood","Birmingham, Ladywood",England,"5,564.29680999762","1,024.29680999762","5,555",,105,2,,9.3,1,,"1,015",,40,4.1,,"1,165",,65,5.9,,"4,463","1,087",
