,,,,,,,,,,,,,,,,,,,,,,,,,
column reference number,52,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Claimant data by constituency: JSA claimants and Universal Credit claimants required to seek work, March 2017",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: Figures include JSA claimants and people claiming Universal Credit (UC) who are required to seek work. UC figures are provisional. All data are rounded to the nearest five, except for data on claims by type (JSA claimants only; UC claimants only). The number of JSA claimants and the number of UC claimants may not sum to the total claimant count as data are taken from different sources and are independently rounded.",,,,,,,,,,,,,,,,,,,,,,,,,
Claimant rate is the proportion of the economically active population aged 16-64 (as estimated by the Library) who are claiming JSA or claiming UC and required to seek work.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Claimant levels,,,,,Claimant rate,,,Claims by age group,,,,,,,,,,Claims by type,,
 ,,,,,All claimants,,,,,All claimants,,,18-24,,,,,50 and over,,,,,JSA only,UC only,
,,,,,Number,,Annual change,,,Rate,Rank,,Number,,Annual change,,,Number,,Annual change,,,,,
,,,,,,,level,%,,%,1=highest,,                                                                                      ,,level,%,,,,level,%,,,,
Beaconsfield,Beaconsfield,England,450.91109038643,60.91109038643,450,,30,7,,0.9,602,,60,,-5,-7.7,,150,,25,20.0,,336,115,
Beckenham,Beckenham,England,511.09894412231,76.09894412231,510,,80,19,,1.1,566,,75,,10,15.4,,165,,40,32.0,,398,107,
Bedford,Bedford,England,"1,818.47374147191",298.47374147191,"1,815",,-35,-2,,3.5,158,,295,,-40,-11.9,,485,,30,6.6,,"1,379",436,
Belfast East,Belfast East,Northern Ireland,"1,723.75992032855",353.75992032855,"1,720",,-255,-13,,3.8,130,,350,,-135,-27.8,,450,,15,3.4,,"1,720",..,
Belfast North,Belfast North,Northern Ireland,"3,036.80127711414",731.80127711414,"3,030",,-495,-14,,6.8,10,,725,,-150,-17.1,,635,,-70,-9.9,,"3,029",..,
Belfast South,Belfast South,Northern Ireland,"1,692.85420671804",352.85420671804,"1,690",,-345,-17,,2.9,239,,350,,-115,-24.7,,370,,-20,-5.1,,"1,689",..,
Belfast West,Belfast West,Northern Ireland,"2,812.37318799241",752.37318799241,"2,805",,-520,-16,,7.4,7,,745,,-150,-16.8,,615,,-45,-6.8,,"2,803",..,
Bermondsey and Old Southwark,Bermondsey and Old Southwark,England,"3,178.80152701801",398.80152701801,"3,175",,"1,010",47,,3.8,127,,395,,90,29.5,,980,,375,62.0,,590,"2,590",
"Berwickshire, Roxburgh and Selkirk","Berwickshire, Roxburgh and Selkirk",Scotland,"1,152.59333515712",267.59333515712,"1,150",,-30,-3,,2.6,283,,265,,-45,-14.5,,310,,10,3.3,,702,449,
Berwick-upon-Tweed,Berwick-upon-Tweed,England,802.29530528175,177.29530528175,800,,5,1,,2.3,330,,175,,-10,-5.4,,240,,15,6.7,,549,254,
Bethnal Green and Bow,Bethnal Green and Bow,England,"2,358.10649426023",433.10649426023,"2,355",,-140,-6,,3.1,206,,430,,-50,-10.4,,735,,55,8.1,,"1,738",616,
Beverley and Holderness,Beverley and Holderness,England,836.77199417411,211.77199417411,835,,-55,-6,,1.8,421,,210,,-10,-4.5,,210,,-25,-10.6,,567,265,
Bexhill and Battle,Bexhill and Battle,England,631.46464482745,151.46464482745,630,,-10,-2,,1.5,491,,150,,-15,-9.1,,170,,-15,-8.1,,355,272,
Bexleyheath and Crayford,Bexleyheath and Crayford,England,846.82366658764,186.82366658764,845,,110,15,,1.8,410,,185,,15,8.8,,190,,40,26.7,,558,288,
Birkenhead,Birkenhead,England,"1,919.82046159733",434.82046159733,"1,915",,-100,-5,,4.8,62,,430,,-75,-14.9,,415,,20,5.1,,753,"1,162",
"Birmingham, Edgbaston","Birmingham, Edgbaston",England,"2,565.46778466525",460.46778466526,"2,560",,175,7,,5.5,30,,455,,-10,-2.2,,615,,95,18.3,,"1,883",672,
"Birmingham, Erdington","Birmingham, Erdington",England,"3,482.56032988454",687.56032988454,"3,475",,-5,0,,7.6,6,,680,,-100,-12.8,,890,,85,10.6,,"2,602",870,
"Birmingham, Hall Green","Birmingham, Hall Green",England,"3,296.77047737317",806.77047737317,"3,290",,175,6,,6.8,11,,800,,65,8.8,,630,,45,7.7,,"2,083","1,207",
"Birmingham, Hodge Hill","Birmingham, Hodge Hill",England,"4,083.86369055388",933.86369055388,"4,075",,60,1,,8.9,2,,925,,-85,-8.4,,825,,105,14.6,,"2,978","1,095",
"Birmingham, Ladywood","Birmingham, Ladywood",England,"6,135.25075809819","1,125.25075809819","6,125",,260,4,,10.3,1,,"1,115",,30,2.8,,"1,265",,110,9.5,,"4,876","1,249",
"Birmingham, Northfield","Birmingham, Northfield",England,"2,891.19348839142",621.19348839143,"2,885",,275,11,,6.2,18,,615,,-30,-4.7,,595,,85,16.7,,"2,106",777,
"Birmingham, Perry Barr","Birmingham, Perry Barr",England,"3,852.83898832901",747.83898832901,"3,845",,155,4,,7.8,5,,740,,35,5.0,,835,,80,10.6,,"2,991",854,
