date,geography,geography code,All categories,Agriculture,Mining and quarrying,Manufacturing,Manufacturing: Food,Manufacturing: Textiles,Manufacturing: Wood,Manufacturing: Chemicals,Manufacturing: Low tech,Manufacturing: High tech,Manufacturing: Other,Electricity and Gas,Water supply and Sewerage,Construction,Wholesale and retail trade,Transport and storage,Accommodation and food service activities,Information and communication,Financial and insurance activities,Real estate activities,Professional and scientific activities,Administrative and support service activities,Public administration and defence,Education,Human health and social work,Arts and Entertainment,Activities of households as employers,Activities of extraterritorial organisations and bodies
2011,Altrincham and Sale West,E14000532,48191,89,50,3443,429,182,100,628,445,741,918,264,267,3113,7124,1931,2103,2633,2522,878,5663,2644,1948,5012,6300,2125,66,16
2011,Ashton-under-Lyne,E14000537,41310,36,16,5156,1089,339,165,665,721,1001,1176,230,352,3514,7803,2382,2003,929,1785,698,1993,2065,2332,3224,5070,1708,11,3
2011,Barrow and Furness,E14000543,40786,370,244,7968,191,68,468,658,955,4830,798,544,349,3129,5971,1575,2721,749,634,323,1474,1387,2411,3420,5763,1731,18,5
2011,Birkenhead,E14000559,36795,28,37,3787,765,73,92,581,494,1054,728,173,326,2631,5584,1822,1988,779,1076,571,1995,1944,2579,3203,6397,1853,15,7
2011,Blackburn,E14000570,40749,55,13,6283,941,666,432,1030,641,1183,1390,118,248,2322,7806,1928,2132,1192,718,467,1591,1979,2166,4206,6045,1458,19,3
2011,Blackley and Broughton,E14000571,41791,14,11,2635,532,348,56,375,277,464,583,150,212,2441,7419,2528,3600,1171,1696,747,2180,3131,1704,4314,5792,1998,40,8
2011,Blackpool North and Cleveleys,E14000572,35950,66,39,2708,612,64,34,372,465,674,487,139,228,2820,5563,1651,3507,793,937,376,1283,1486,4416,2808,5237,1877,12,4
2011,Blackpool South,E14000573,35358,42,19,2954,776,76,17,331,408,801,545,144,166,2501,5950,1696,4597,746,1057,370,1091,1654,2686,2150,5231,2290,10,4
2011,Bolton North East,E14000578,41453,57,20,4370,831,335,175,636,758,700,935,352,392,3481,7809,2119,2103,1054,1488,628,2092,2051,2331,4125,5149,1823,5,4
2011,Bolton South East,E14000579,42145,49,15,4701,978,443,159,679,662,698,1082,377,376,3524,8785,2696,2107,998,1266,480,1726,2310,2080,3278,5650,1708,16,3
2011,Bolton West,E14000580,46142,97,34,4814,734,280,244,667,867,1000,1022,364,494,3965,7954,1920,2077,1261,1764,704,2873,2176,2879,4621,6150,1961,23,11
2011,Bootle,E14000581,42247,48,39,2680,492,128,77,294,486,543,660,160,383,3124,6920,2801,2173,920,2050,587,1632,2155,4451,3677,6371,2050,22,4
2011,Burnley,E14000609,38133,92,15,6821,726,448,168,909,1016,2070,1484,112,268,2826,6386,1445,1842,767,1035,456,1310,1759,2043,3252,6000,1686,14,4
2011,Bury North,E14000611,41421,64,30,4379,307,535,240,986,725,672,914,193,321,2897,7055,2107,1849,1433,1632,581,2349,1848,2639,4455,5839,1727,18,5
2011,Bury South,E14000612,46615,57,19,3642,410,317,167,780,512,546,910,200,337,3365,8267,2251,2186,1726,2204,789,3087,2276,2649,5032,6486,2014,25,3
2011,Carlisle,E14000620,42770,484,45,4986,1959,259,154,1002,685,253,674,178,376,3411,8450,2839,3022,734,813,558,1659,1820,2718,3101,5611,1952,9,4
2011,Cheadle,E14000627,43843,55,38,3186,269,190,89,527,361,874,876,185,170,2777,7193,2188,1812,2022,2469,756,4161,1960,2075,5050,5855,1853,25,13
2011,Chorley,E14000637,47856,343,40,5263,722,322,200,548,836,1545,1090,212,424,4002,8016,1937,2165,1391,1252,679,2714,2166,3372,4833,6954,2077,14,2
2011,City of Chester,E14000640,45687,261,99,4255,500,100,165,861,589,1315,725,261,338,2322,7402,1858,3600,1558,2880,653,3473,1864,2292,4664,5771,2101,29,6
2011,Congleton,E14000646,44786,611,183,5932,571,198,205,1305,904,1585,1164,174,286,2976,7286,1991,2038,1816,2116,640,3214,1978,1822,4548,5151,1981,31,12
